id,slug,category,subcategory,question,aliases,answer_markdown,keywords,difficulty,related_questions,source
361,what-is-the-construction-sector,NSE Listed Companies & Market Sectors,Sectors,What is the construction sector on the NSE?,Construction sector,"# Construction Sector

The construction sector includes companies involved in cement production, construction materials, and infrastructure-related businesses listed on the NSE.",construction sector,Beginner,Which construction companies are listed?,NSE
362,which-construction-companies-listed,NSE Listed Companies & Market Sectors,Construction,Which construction companies are listed on the NSE?,Listed construction companies,"# Listed Construction Companies

Examples include Bamburi Cement and East African Portland Cement, which manufacture cement and related building materials.",construction companies;cement,Beginner,What is the construction sector?,NSE
363,what-is-the-investment-sector,NSE Listed Companies & Market Sectors,Sectors,What is the investment sector on the NSE?,Investment sector,"# Investment Sector

The investment sector includes investment holding companies and firms that manage diversified portfolios across multiple industries.",investment sector,Beginner,What are investment companies?,NSE
364,what-is-the-automobile-sector,NSE Listed Companies & Market Sectors,Sectors,What is the automobile sector on the NSE?,Automobile sector,"# Automobile Sector

The automobile sector includes companies involved in vehicle assembly, distribution, transport equipment, and related services.",automobile sector,Beginner,Which automobile companies are listed?,NSE
365,what-is-a-blue-chip-company,NSE Listed Companies & Market Sectors,Company Types,What is a blue-chip company?,Define blue chip company,"# Blue-Chip Company

A blue-chip company is a well-established business with a strong financial record, stable earnings, and a history of reliable performance.",blue chip,Beginner,What is market capitalization?,Internal
366,what-is-a-large-cap-company,NSE Listed Companies & Market Sectors,Company Types,What is a large-cap company?,Define large-cap,"# Large-Cap Company

A large-cap company has a relatively high market capitalization and is often considered financially stable.",large cap,Beginner,What is market capitalization?,Internal
367,what-is-a-mid-cap-company,NSE Listed Companies & Market Sectors,Company Types,What is a mid-cap company?,Define mid-cap,"# Mid-Cap Company

A mid-cap company has a medium market capitalization and may offer a balance between growth potential and stability.",mid cap,Beginner,What is a large-cap company?,Internal
368,what-is-a-small-cap-company,NSE Listed Companies & Market Sectors,Company Types,What is a small-cap company?,Define small-cap,"# Small-Cap Company

A small-cap company has a relatively low market capitalization and may have higher growth potential along with higher risk.",small cap,Beginner,What is a mid-cap company?,Internal
369,what-is-a-listed-company,NSE Listed Companies & Market Sectors,Listings,What is a listed company?,Define listed company,"# Listed Company

A listed company has its shares admitted for trading on a stock exchange and must meet the exchange's listing requirements.",listed company,Beginner,What is the NSE?,NSE
370,why-do-companies-list-on-the-nse,NSE Listed Companies & Market Sectors,Listings,Why do companies list on the NSE?,Benefits of listing,"# Why Companies List on the NSE

Companies list on the NSE to raise capital, increase visibility, improve credibility, and provide liquidity for shareholders.",listing benefits,Beginner,What is a listed company?,NSE
